site,Directory,FileName,DateTimeOriginal,DateTimeCorrected,species,count,juvenile,moving,resting,eating,standing,interacting,male
G12,G12/G12_R1/105EK113,12290656.JPG,12/29/18 13:00,12/29/18 13:00,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290657.JPG,12/29/18 13:00,12/29/18 13:00,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290658.JPG,12/29/18 13:01,12/29/18 13:01,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290659.JPG,12/29/18 13:01,12/29/18 13:01,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290660.JPG,12/29/18 13:02,12/29/18 13:02,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290661.JPG,12/29/18 13:02,12/29/18 13:02,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290662.JPG,12/29/18 13:02,12/29/18 13:02,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290663.JPG,12/29/18 13:02,12/29/18 13:02,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290664.JPG,12/29/18 13:03,12/29/18 13:03,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290665.JPG,12/29/18 13:03,12/29/18 13:03,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290666.JPG,12/29/18 13:04,12/29/18 13:04,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290667.JPG,12/29/18 13:04,12/29/18 13:04,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290668.JPG,12/29/18 13:05,12/29/18 13:05,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290669.JPG,12/29/18 13:05,12/29/18 13:05,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290670.JPG,12/29/18 13:06,12/29/18 13:06,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290671.JPG,12/29/18 13:06,12/29/18 13:06,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290672.JPG,12/29/18 13:08,12/29/18 13:08,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290673.JPG,12/29/18 13:08,12/29/18 13:08,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290674.JPG,12/29/18 13:09,12/29/18 13:09,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290675.JPG,12/29/18 13:09,12/29/18 13:09,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290676.JPG,12/29/18 13:10,12/29/18 13:10,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290677.JPG,12/29/18 13:10,12/29/18 13:10,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290678.JPG,12/29/18 13:11,12/29/18 13:11,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290679.JPG,12/29/18 13:11,12/29/18 13:11,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290680.JPG,12/29/18 13:12,12/29/18 13:12,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290681.JPG,12/29/18 13:12,12/29/18 13:12,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290682.JPG,12/29/18 13:12,12/29/18 13:12,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290683.JPG,12/29/18 13:12,12/29/18 13:12,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290684.JPG,12/29/18 13:13,12/29/18 13:13,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290685.JPG,12/29/18 13:13,12/29/18 13:13,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290686.JPG,12/29/18 13:14,12/29/18 13:14,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290687.JPG,12/29/18 13:14,12/29/18 13:14,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290688.JPG,12/29/18 13:15,12/29/18 13:15,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290689.JPG,12/29/18 13:15,12/29/18 13:15,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290690.JPG,12/29/18 13:15,12/29/18 13:15,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290691.JPG,12/29/18 13:15,12/29/18 13:15,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290692.JPG,12/29/18 13:16,12/29/18 13:16,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290693.JPG,12/29/18 13:16,12/29/18 13:16,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290694.JPG,12/29/18 13:16,12/29/18 13:16,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290695.JPG,12/29/18 13:16,12/29/18 13:16,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290696.JPG,12/29/18 13:17,12/29/18 13:17,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290697.JPG,12/29/18 13:17,12/29/18 13:17,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290698.JPG,12/29/18 13:18,12/29/18 13:18,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290699.JPG,12/29/18 13:18,12/29/18 13:18,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290700.JPG,12/29/18 13:18,12/29/18 13:18,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290701.JPG,12/29/18 13:18,12/29/18 13:18,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290702.JPG,12/29/18 13:19,12/29/18 13:19,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290703.JPG,12/29/18 13:19,12/29/18 13:19,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290704.JPG,12/29/18 13:20,12/29/18 13:20,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290705.JPG,12/29/18 13:20,12/29/18 13:20,nothing there,,,,,,,,
