Directory,DateTimeOriginal,FileName,species,count,juvenile,moving,resting,eating,standing,interacting,male
D07/D07_R1/100EK113,5/16/18 0:33,05160139.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/16/18 0:33,05160140.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/16/18 7:44,05160141.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/16/18 7:44,05160142.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/16/18 7:45,05160143.JPG,warthog,2,0,0,0,1,1,0,0
D07/D07_R1/100EK113,5/16/18 7:46,05160144.JPG,warthog,2,0,0,0,1,1,0,0
D07/D07_R1/100EK113,5/16/18 7:46,05160145.JPG,warthog,3,0,0,0,1,1,0,0
D07/D07_R1/100EK113,5/16/18 7:46,05160146.JPG,warthog,3,0,0,0,1,1,0,0
D07/D07_R1/100EK113,5/16/18 14:35,05160147.JPG,nyala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/16/18 14:35,05160148.JPG,nyala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/16/18 14:39,05160149.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/16/18 14:39,05160150.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/16/18 14:41,05160151.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/16/18 14:41,05160152.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/16/18 15:47,05160153.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/16/18 15:47,05160154.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/16/18 17:00,05160155.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/16/18 17:00,05160156.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/16/18 22:52,05160157.JPG,bushbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/16/18 22:52,05160158.JPG,bushbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/17/18 0:12,05170159.JPG,waterbuck,1,0,0,1,0,0,0,1
D07/D07_R1/100EK113,5/17/18 0:12,05170160.JPG,waterbuck,1,0,0,1,0,0,0,1
D07/D07_R1/100EK113,5/17/18 0:20,05170161.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/17/18 0:20,05170162.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/17/18 5:43,05170163.JPG,bushbuck,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/17/18 5:43,05170164.JPG,bushbuck,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/17/18 5:44,05170165.JPG,bushbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/17/18 5:44,05170166.JPG,bushbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/17/18 7:45,05170167.JPG,warthog,2,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/17/18 7:45,05170168.JPG,warthog,2,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/17/18 8:19,05170169.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/17/18 8:19,05170170.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/17/18 11:09,05170171.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/17/18 11:09,05170172.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/18/18 6:59,05180173.JPG,unknown,,,,,,,,
D07/D07_R1/100EK113,5/18/18 6:59,05180174.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/18/18 9:25,05180175.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/18/18 9:25,05180176.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/18/18 14:59,05180177.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/18/18 14:59,05180178.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 0:44,05190179.JPG,bushbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 0:44,05190180.JPG,bushbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 7:29,05190181.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/19/18 7:29,05190182.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/19/18 7:38,05190183.JPG,impala,2,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/19/18 7:38,05190184.JPG,impala,2,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/19/18 7:39,05190185.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 7:39,05190186.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 7:40,05190187.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 7:40,05190188.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 7:45,05190189.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/19/18 7:45,05190190.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/19/18 7:45,05190191.JPG,impala,3,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 7:45,05190192.JPG,impala,3,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 7:57,05190193.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/19/18 7:57,05190194.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/19/18 8:30,05190195.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 8:30,05190196.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 16:29,05190197.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 16:29,05190198.JPG,impala,2,0,1,0,0,1,0,2
D07/D07_R1/100EK113,5/19/18 16:35,05190199.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 16:35,05190200.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 16:37,05190201.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 16:37,05190202.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 16:40,05190203.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 16:40,05190204.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/19/18 19:42,05190205.JPG,porcupine,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/19/18 19:42,05190206.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/20/18 8:05,05200207.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/20/18 8:05,05200208.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/20/18 10:58,05200209.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/20/18 10:58,05200210.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/20/18 11:34,05200211.JPG,baboon,2,1,1,0,0,1,1,0
D07/D07_R1/100EK113,5/20/18 11:34,05200212.JPG,baboon,2,1,1,0,0,1,1,0
D07/D07_R1/100EK113,5/20/18 11:36,05200213.JPG,baboon,2,1,1,0,0,1,1,0
D07/D07_R1/100EK113,5/20/18 11:36,05200214.JPG,baboon,2,1,1,0,0,1,1,0
D07/D07_R1/100EK113,5/21/18 5:41,05210215.JPG,bushbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/21/18 5:41,05210216.JPG,bushbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 5:05,05220217.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 5:05,05220218.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 5:05,05220219.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 5:05,05220220.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 6:05,05220221.JPG,kudu,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 6:05,05220222.JPG,kudu,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 11:00,05220223.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 11:01,05220224.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/22/18 11:20,05220225.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 11:20,05220226.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 11:25,05220227.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 11:25,05220228.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 11:38,05220229.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 11:38,05220230.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 14:11,05220231.JPG,waterbuck,2,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 14:12,05220232.JPG,waterbuck,2,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 14:12,05220233.JPG,waterbuck,3,1,1,0,1,1,0,0
D07/D07_R1/100EK113,5/22/18 14:12,05220234.JPG,waterbuck,2,1,1,0,1,1,0,0
D07/D07_R1/100EK113,5/22/18 14:15,05220235.JPG,waterbuck,3,1,1,0,1,1,0,0
D07/D07_R1/100EK113,5/22/18 14:15,05220236.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 14:29,05220237.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 14:29,05220238.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/22/18 18:50,05220239.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/22/18 18:50,05220240.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 8:06,05230241.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 8:06,05230242.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/23/18 10:11,05230243.JPG,waterbuck,2,1,1,0,1,1,0,1
D07/D07_R1/100EK113,5/23/18 10:11,05230244.JPG,waterbuck,2,1,1,0,1,1,0,1
D07/D07_R1/100EK113,5/23/18 10:14,05230245.JPG,waterbuck,1,0,0,0,1,1,0,1
D07/D07_R1/100EK113,5/23/18 10:14,05230246.JPG,waterbuck,1,0,0,0,1,1,0,1
D07/D07_R1/100EK113,5/23/18 10:15,05230247.JPG,waterbuck,2,0,0,0,1,1,0,1
D07/D07_R1/100EK113,5/23/18 10:15,05230248.JPG,waterbuck,2,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/23/18 10:52,05230249.JPG,nyala,1,0,1,0,0,1,0,0
